Date,Time,User,Device,Event
04/24/2024,09:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,09:35 AM,Device Event,Jedlovec Manor Upstairs,Humidity 46%
04/24/2024,09:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,10:08 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,10:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,10:12 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,10:17 AM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,10:21 AM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,10:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,10:44 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,10:58 AM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,11:00 AM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,11:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,11:17 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,11:23 AM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,11:38 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,11:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,11:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,11:50 AM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,12:08 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,12:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,12:23 PM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/24/2024,12:27 PM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,12:28 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,12:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,12:47 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,12:52 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,12:55 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,01:04 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,01:08 PM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,01:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,01:11 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,01:17 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,01:22 PM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,01:31 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,01:35 PM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,01:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,01:44 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,01:48 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,02:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,02:14 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,02:20 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,02:24 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,02:36 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,02:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,02:45 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,02:50 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,03:00 PM,Device Event,Jedlovec Manor - Main,Cool setpoint set to 82
04/24/2024,03:00 PM,Device Event,Jedlovec Manor - Main,Schedule mode status set to Following Schedule - Activities
04/24/2024,03:00 PM,Device Event,Jedlovec Manor - Main,Heat setpoint set to 60
04/24/2024,03:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,03:17 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,03:22 PM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/24/2024,03:32 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,03:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,03:45 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,03:48 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,04:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,04:14 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,04:15 PM,Device Event,Jedlovec Manor Upstairs,Humidity 45%
04/24/2024,04:19 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,04:30 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,04:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,04:46 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,04:50 PM,Device Event,Jedlovec Manor Upstairs,New temperature 71
04/24/2024,04:58 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,05:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,05:15 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,05:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,05:45 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,05:49 PM,Device Event,Jedlovec Manor Upstairs,New temperature 71
04/24/2024,05:56 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,06:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,06:16 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,06:24 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,06:27 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,06:30 PM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 75
04/24/2024,06:30 PM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 65
04/24/2024,06:30 PM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Evening
04/24/2024,06:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,06:43 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,06:47 PM,Device Event,Jedlovec Manor Upstairs,New temperature 71
04/24/2024,06:50 PM,Device Event,Jedlovec Manor Upstairs,Humidity 46%
04/24/2024,06:55 PM,Device Event,Jedlovec Manor Upstairs,Humidity 47%
04/24/2024,07:02 PM,Device Event,Jedlovec Manor Upstairs,Humidity 48%
04/24/2024,07:08 PM,Device Event,Jedlovec Manor Upstairs,Humidity 49%
04/24/2024,07:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,07:12 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,07:13 PM,Device Event,Jedlovec Manor Upstairs,Humidity 50%
04/24/2024,07:21 PM,Device Event,Jedlovec Manor Upstairs,Humidity 51%
04/24/2024,07:22 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,07:32 PM,Device Event,Jedlovec Manor Upstairs,Humidity 52%
04/24/2024,07:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,07:43 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,07:48 PM,Device Event,Jedlovec Manor Upstairs,Humidity 53%
04/24/2024,07:48 PM,Device Event,Jedlovec Manor Upstairs,New temperature 71
04/24/2024,07:52 PM,Scheduled Event,Jedlovec Manor upstairs ,Switched to 'Night'
04/24/2024,07:52 PM,System Event,Night,'Night' Mode Activated
04/24/2024,08:00 PM,Device Event,Jedlovec Manor - Main,Schedule mode status set to Following Schedule - Sleep
04/24/2024,08:04 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,08:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,08:19 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,08:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,08:45 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,08:46 PM,Device Event,Jedlovec Manor - Main,Humidity 44%
04/24/2024,08:50 PM,Device Event,Jedlovec Manor Upstairs,New temperature 71
04/24/2024,08:56 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,09:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,09:16 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,09:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,09:48 PM,Device Event,Jedlovec Manor Upstairs,New temperature 70
04/24/2024,10:00 PM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 76
04/24/2024,10:00 PM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 64
04/24/2024,10:01 PM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Sleep
04/24/2024,10:01 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,10:10 PM,Device Event,Jedlovec Manor Upstairs,Humidity 52%
04/24/2024,10:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,10:13 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,10:21 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,10:35 PM,Device Event,Jedlovec Manor - Main,New temperature 69
04/24/2024,10:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,10:44 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,10:52 PM,Device Event,Jedlovec Manor - Main,New temperature 68
04/24/2024,11:11 PM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/24/2024,11:16 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/24/2024,11:41 PM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/24/2024,11:47 PM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/24/2024,11:55 PM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,12:01 AM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/25/2024,12:04 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,12:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,12:23 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,12:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,12:43 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,12:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 69
04/25/2024,12:54 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,01:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,01:17 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,01:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,01:45 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,02:00 AM,Device Event,Jedlovec Manor Upstairs,Humidity 51%
04/25/2024,02:05 AM,Device Event,Jedlovec Manor - Main,New temperature 67
04/25/2024,02:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,02:14 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,02:21 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,02:30 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,02:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,02:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,03:07 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,03:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,03:17 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,03:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,03:45 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,03:50 AM,Device Event,Jedlovec Manor Upstairs,New temperature 68
04/25/2024,03:57 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,04:03 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/25/2024,04:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,04:16 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,04:21 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,04:31 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,04:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,04:41 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,04:43 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,04:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 67
04/25/2024,05:11 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,05:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,05:16 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,05:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 75
04/25/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 67
04/25/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Wake
04/25/2024,05:45 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,06:08 AM,Scheduled Event,Jedlovec Manor upstairs ,Switched to 'Day'
04/25/2024,06:08 AM,System Event,Day,'Day' Mode Activated
04/25/2024,06:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,06:15 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,06:20 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/25/2024,06:30 AM,Device Event,Jedlovec Manor - Main,Schedule mode status set to Following Schedule - Home
04/25/2024,06:30 AM,Device Event,Jedlovec Manor - Main,New temperature 65
04/25/2024,06:30 AM,Device Event,Jedlovec Manor - Main,Cool setpoint set to 78
04/25/2024,06:30 AM,Device Event,Jedlovec Manor - Main,Heat setpoint set to 65
04/25/2024,06:30 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,06:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,06:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 66
04/25/2024,06:59 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,07:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,07:22 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/25/2024,07:29 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,07:30 AM,Device Event,Jedlovec Manor Upstairs,Cool setpoint set to 80
04/25/2024,07:30 AM,Device Event,Jedlovec Manor Upstairs,Heat setpoint set to 60
04/25/2024,07:30 AM,Device Event,Jedlovec Manor Upstairs,Schedule mode status set to Following Schedule - Home
04/25/2024,07:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,07:46 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/25/2024,07:48 AM,Device Event,Jedlovec Manor - Main,New temperature 65
04/25/2024,07:59 AM,Device Event,Jedlovec Manor - Main,Humidity 43%
04/25/2024,08:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,08:15 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/25/2024,08:24 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/25/2024,08:38 AM,Device Event,Jedlovec Manor - Main,New temperature 65
04/25/2024,08:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,08:48 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,08:50 AM,Device Event,Jedlovec Manor - Main,Set to Heating
04/25/2024,08:50 AM,Device Event,Jedlovec Manor - Main,Humidity 42%
04/25/2024,08:52 AM,Device Event,Jedlovec Manor - Main,New temperature 64
04/25/2024,08:54 AM,Device Event,Jedlovec Manor - Main,New temperature 63
04/25/2024,08:54 AM,Device Event,Jedlovec Manor - Main,New temperature 63
04/25/2024,08:55 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/25/2024,08:56 AM,Device Event,Jedlovec Manor - Main,New temperature 64
04/25/2024,08:59 AM,Device Event,Jedlovec Manor - Main,New temperature 65
04/25/2024,09:00 AM,Device Event,Jedlovec Manor Upstairs,Humidity 50%
04/25/2024,09:04 AM,Device Event,Jedlovec Manor - Main,Set to System Idle
04/25/2024,09:04 AM,Device Event,Jedlovec Manor Upstairs,New temperature 65
04/25/2024,09:09 AM,Device Event,Jedlovec Manor Upstairs,New temperature 64
04/25/2024,09:11 AM,Device Event,Jedlovec Manor - Main,Set to Heating
04/25/2024,09:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,09:20 AM,Device Event,Jedlovec Manor - Main,Set to Fan Running
04/25/2024,09:20 AM,Device Event,Jedlovec Manor - Main,Set to System Idle
04/25/2024,09:20 AM,Device Event,Jedlovec Manor Upstairs,Humidity 49%
04/25/2024,09:31 AM,Device Event,Jedlovec Manor Upstairs,Humidity 48%
04/25/2024,09:38 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/25/2024,09:41 AM,Device Event,Jedlovec Manor Upstairs,Set to Fan Running
04/25/2024,09:50 AM,Device Event,Jedlovec Manor - Main,Humidity 41%
04/25/2024,10:03 AM,Device Event,Jedlovec Manor - Main,Humidity 40%
04/25/2024,10:11 AM,Device Event,Jedlovec Manor Upstairs,Set to System Off
04/25/2024,10:11 AM,Device Event,Jedlovec Manor - Main,New temperature 67
04/25/2024,10:18 AM,Device Event,Jedlovec Manor - Main,Humidity 39%
04/25/2024,10:25 AM,Device Event,Jedlovec Manor - Main,New temperature 66
04/25/2024,10:32 AM,Device Event,Jedlovec Manor - Main,New temperature 67
04/25/2024,10:33 AM,Device Event,Jedlovec Manor - Main,Humidity 38%
